planner,sokoban,pegsol,elevators,openstacks,tidybot,nomystery,scanalyzer,woodworking,transport,parcprinter,floortile,parking,barman,visitall,total
fdss-1,20.00,18.00,18.00,16.00,14.00,11.00,13.00,9.00,7.00,7.00,7.00,7.00,4.00,5.00,156.00
fdss-2,20.00,18.00,17.00,16.00,14.00,11.00,13.00,8.00,7.00,6.00,7.00,7.00,4.00,5.00,153.00
selmax,20.00,16.00,18.00,14.00,14.00,11.00,9.00,9.00,6.00,6.00,7.00,4.00,4.00,2.00,140.00
merge-and-shrink,20.00,18.00,11.00,16.00,13.00,11.00,8.00,6.00,7.00,7.00,7.00,7.00,4.00,5.00,140.00
lmcut,20.00,17.00,18.00,16.00,14.00,6.00,11.00,9.00,6.00,6.00,7.00,2.00,4.00,2.00,138.00
fd-autotune,20.00,16.00,18.00,16.00,14.00,6.00,11.00,9.00,6.00,6.00,7.00,2.00,4.00,2.00,137.00
forkinit,19.00,16.00,16.00,16.00,14.00,11.00,9.00,1.00,6.00,4.00,2.00,7.00,4.00,4.00,129.00
bjolp,20.00,16.00,14.00,14.00,14.00,11.00,5.00,6.00,7.00,4.00,2.00,3.00,4.00,2.00,122.00
Imfork,19.00,16.00,14.00,12.00,14.00,11.00,7.00,2.00,6.00,3.00,2.00,5.00,4.00,4.00,119.00
gamer,19.00,16.00,19.00,20.00,0.00,5.00,5.00,14.00,7.00,0.00,9.00,0.00,4.00,1.00,119.00
iforkinit,20.00,16.00,14.00,16.00,14.00,5.00,5.00,0.00,6.00,3.00,2.00,4.00,4.00,6.00,115.00
cpt4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,10.00,0.00,0.00,0.00,2.00,15.00
total,217.00,183.00,177.00,172.00,139.00,99.00,96.00,76.00,71.00,62.00,59.00,48.00,44.00,40.00,
